graphid,repeatid,vertices, edges, ticks, min-degree, d-bound, nodes-deleted
34,2,100,2,3,1,100,0
34,3,100,2,2,1,100,0
34,4,100,2,1,1,100,0
35,0,100,2,6,1,100,0
35,1,100,2,2,1,100,0
35,2,100,2,1,1,100,0
35,3,100,2,3,1,100,0
35,4,100,2,4,1,100,0
36,0,100,2,8,1,100,0
36,1,100,2,1,1,100,0
36,2,100,2,1,1,100,0
36,3,100,2,1,1,100,0
36,4,100,2,1,1,100,0
37,0,100,2,6,1,100,0
37,1,100,2,1,1,100,0
37,2,100,2,2,1,100,0
37,3,100,2,1,1,100,0
37,4,100,2,1,1,100,0
38,0,100,2,7,1,100,0
38,1,100,2,1,1,100,0
38,2,100,2,1,1,100,0
38,3,100,2,2,1,100,0
38,4,100,2,1,1,100,0
39,0,100,2,8,1,100,0
39,1,100,2,1,1,100,0
39,2,100,2,1,1,100,0
39,3,100,2,1,1,100,0
39,4,100,2,1,1,100,0
40,0,100,2,7,1,100,0
40,1,100,2,1,1,100,0
40,2,100,2,1,1,100,0
40,3,100,2,1,1,100,0
40,4,100,2,1,1,100,0
41,0,100,2,6,1,100,0
41,1,100,2,2,1,100,0
41,2,100,2,1,1,100,0
41,3,100,2,1,1,100,0
41,4,100,2,1,1,100,0
42,0,100,2,8,1,100,0
42,1,100,2,1,1,100,0
42,2,100,2,5,1,100,0
42,3,100,2,3,1,100,0
42,4,100,2,1,1,100,0
43,0,100,2,6,1,100,0
43,1,100,2,3,1,100,0
43,2,100,2,2,1,100,0
43,3,100,2,1,1,100,0
43,4,100,2,1,1,100,0
44,0,100,2,8,1,100,0
44,1,100,2,1,1,100,0
44,2,100,2,1,1,100,0
44,3,100,2,1,1,100,0
44,4,100,2,1,1,100,0
45,0,100,2,7,1,100,0
45,1,100,2,4,1,100,0
45,2,100,2,1,1,100,0
45,3,100,2,1,1,100,0
45,4,100,2,1,1,100,0
46,0,100,2,7,1,100,0
46,1,100,2,1,1,100,0
46,2,100,2,2,1,100,0
46,3,100,2,1,1,100,0
46,4,100,2,1,1,100,0
47,0,100,2,9,1,100,0
47,1,100,2,2,1,100,0
47,2,100,2,2,1,100,0
47,3,100,2,1,1,100,0
47,4,100,2,1,1,100,0
48,0,100,2,6,1,100,0
48,1,100,2,1,1,100,0
48,2,100,2,1,1,100,0
48,3,100,2,1,1,100,0
48,4,100,2,1,1,100,0
49,0,100,2,7,1,100,0
49,1,100,2,1,1,100,0
49,2,100,2,1,1,100,0
49,3,100,2,1,1,100,0
49,4,100,2,2,1,100,0
50,0,100,2,7,1,100,0
50,1,100,2,1,1,100,0
50,2,100,2,1,1,100,0
50,3,100,2,4,1,100,0
50,4,100,2,1,1,100,0
51,0,100,2,8,1,100,0
51,1,100,2,1,1,100,0
51,2,100,2,1,1,100,0
51,3,100,2,4,1,100,0
51,4,100,2,1,1,100,0
52,0,100,2,7,1,100,0
52,1,100,2,1,1,100,0
52,2,100,2,1,1,100,0
52,3,100,2,3,1,100,0
52,4,100,2,1,1,100,0
53,0,100,2,6,1,100,0
53,1,100,2,1,1,100,0
53,2,100,2,1,1,100,0
53,3,100,2,2,1,100,0
53,4,100,2,2,1,100,0
54,0,100,2,6,1,100,0
54,1,100,2,2,1,100,0
54,2,100,2,2,1,100,0
54,3,100,2,1,1,100,0
54,4,100,2,1,1,100,0
55,0,100,2,6,1,100,0
55,1,100,2,1,1,100,0
55,2,100,2,1,1,100,0
55,3,100,2,1,1,100,0
55,4,100,2,4,1,100,0
56,0,100,2,8,1,100,0
56,1,100,2,1,1,100,0
56,2,100,2,1,1,100,0
56,3,100,2,2,1,100,0
56,4,100,2,1,1,100,0
57,0,100,2,7,1,100,0
57,1,100,2,1,1,100,0
57,2,100,2,1,1,100,0
57,3,100,2,1,1,100,0
57,4,100,2,1,1,100,0
58,0,100,2,6,1,100,0
58,1,100,2,1,1,100,0
58,2,100,2,1,1,100,0
58,3,100,2,2,1,100,0
58,4,100,2,1,1,100,0
59,0,100,2,6,1,100,0
59,1,100,2,1,1,100,0
59,2,100,2,1,1,100,0
59,3,100,2,1,1,100,0
59,4,100,2,2,1,100,0
60,0,100,2,6,1,100,0
60,1,100,2,3,1,100,0
60,2,100,2,1,1,100,0
60,3,100,2,2,1,100,0
60,4,100,2,1,1,100,0
61,0,100,2,8,1,100,0
61,1,100,2,3,1,100,0
61,2,100,2,2,1,100,0
61,3,100,2,1,1,100,0
61,4,100,2,1,1,100,0
62,0,100,2,7,1,100,0
62,1,100,2,1,1,100,0
62,2,100,2,1,1,100,0
62,3,100,2,1,1,100,0
62,4,100,2,1,1,100,0
63,0,100,2,7,1,100,0
63,1,100,2,2,1,100,0
63,2,100,2,1,1,100,0
63,3,100,2,1,1,100,0
63,4,100,2,1,1,100,0
64,0,100,2,9,1,100,0
64,1,100,2,2,1,100,0
64,2,100,2,2,1,100,0
64,3,100,2,1,1,100,0
64,4,100,2,1,1,100,0
65,0,100,2,7,1,100,0
65,1,100,2,1,1,100,0
65,2,100,2,1,1,100,0
65,3,100,2,1,1,100,0
65,4,100,2,1,1,100,0
66,0,100,2,7,1,100,0
66,1,100,2,1,1,100,0
66,2,100,2,1,1,100,0
66,3,100,2,1,1,100,0
66,4,100,2,2,1,100,0
67,0,100,2,5,1,100,0
67,1,100,2,1,1,100,0
67,2,100,2,1,1,100,0
67,3,100,2,1,1,100,0
67,4,100,2,2,1,100,0
68,0,100,2,7,1,100,0
68,1,100,2,1,1,100,0
68,2,100,2,2,1,100,0
68,3,100,2,3,1,100,0
68,4,100,2,2,1,100,0
69,0,100,2,6,1,100,0
69,1,100,2,1,1,100,0
69,2,100,2,1,1,100,0
69,3,100,2,2,1,100,0
69,4,100,2,1,1,100,0
70,0,100,2,8,1,100,0
70,1,100,2,1,1,100,0
70,2,100,2,1,1,100,0
70,3,100,2,1,1,100,0
70,4,100,2,1,1,100,0
71,0,100,2,7,1,100,0
71,1,100,2,2,1,100,0
71,2,100,2,1,1,100,0
71,3,100,2,1,1,100,0
71,4,100,2,1,1,100,0
72,0,100,2,7,1,100,0
72,1,100,2,1,1,100,0
72,2,100,2,1,1,100,0
72,3,100,2,1,1,100,0
72,4,100,2,1,1,100,0
73,0,100,2,7,1,100,0
73,1,100,2,1,1,100,0
73,2,100,2,1,1,100,0
73,3,100,2,3,1,100,0
73,4,100,2,1,1,100,0
74,0,100,2,7,1,100,0
74,1,100,2,1,1,100,0
74,2,100,2,1,1,100,0
74,3,100,2,3,1,100,0
