Month,Value (Dollars),Value (Tonnes)
Jan,60903000000,12016000
Feb,60201000000,15357000
Mar,68751000000,16866000
Apr,65333000000,14813000
May,69566000000,15817000
Jun,67088000000,16160000
Jul,69570000000,16810000
Aug,64437000000,15096000
Sep,65769000000,14361000
Oct,71350000000,16479000
Nov,72621000000,16520000
Dec,66881000000,15054000
