Precision,Recall,F1-score,True Positives,False Positives,False Negatives,AP,RR
0.029925187032418952,0.35294117647058826,0.05517241379310344,12,388,22,0.05387185010730298,0.09090909090909091
0.004987531172069825,0.2857142857142857,0.00980392156862745,2,398,5,0.008898681423789028,0.012195121951219513
0.04239401496259352,0.3953488372093023,0.07657657657657659,17,383,26,0.048495582461236364,0.09090909090909091
0.012468827930174564,0.5555555555555556,0.024390243902439025,5,395,4,0.010751941326631789,0.0051813471502590676
0.1371571072319202,0.4198473282442748,0.2067669172932331,55,345,76,0.2380449750806723,1.0
0.034912718204488775,0.5833333333333334,0.06588235294117646,14,386,10,0.04885986870478283,0.045454545454545456
0.017456359102244388,0.25,0.032634032634032625,7,393,21,0.01719892800136318,0.023809523809523808
0.02743142144638404,0.5,0.05200945626477541,11,389,11,0.033577229765819235,0.023809523809523808
0.00997506234413965,0.4,0.0194647201946472,4,396,6,0.014856647392021447,0.023809523809523808
0.022443890274314215,0.36,0.04225352112676056,9,391,16,0.03308309208873353,0.023809523809523808
0.012468827930174564,0.22727272727272727,0.023640661938534282,5,395,17,0.02160646300561514,0.043478260869565216
0.0024937655860349127,0.14285714285714285,0.004901960784313725,1,399,6,0.004651162790697674,0.004651162790697674
0.022443890274314215,0.375,0.042352941176470586,9,391,15,0.06764048127396055,0.1111111111111111
0.034912718204488775,0.2545454545454545,0.06140350877192983,14,386,41,0.05040513599611172,0.030303030303030304
0.0798004987531172,0.3076923076923077,0.12673267326732673,32,368,72,0.1171146798858538,0.2
0.1546134663341646,0.34444444444444444,0.21342512908777966,62,338,118,0.2056409192462034,0.5
0.05486284289276808,0.4,0.09649122807017543,22,378,33,0.09559786751697995,0.5
0.02493765586034913,0.47619047619047616,0.047393364928909956,10,390,11,0.02378142725018922,0.023809523809523808
0.02493765586034913,0.45454545454545453,0.047281323877068564,10,390,12,0.030792368492376453,0.023809523809523808
0.029925187032418952,0.2608695652173913,0.05369127516778523,12,388,34,0.038773107854309215,0.1111111111111111
0.032418952618453865,0.52,0.061032863849765265,13,387,12,0.03331331152516388,0.015151515151515152
0.07481296758104738,0.42857142857142855,0.1273885350318471,30,370,40,0.15696127029679868,0.5
