Precision,Recall,F1-score,True Positives,False Positives,False Negatives,AP,RR
0.02743142144638404,0.3235294117647059,0.05057471264367815,11,389,23,0.03793367841025185,0.14285714285714285
0.0024937655860349127,0.14285714285714285,0.004901960784313725,1,399,6,0.0027472527472527475,0.0027472527472527475
0.032418952618453865,0.3023255813953488,0.05855855855855856,13,387,30,0.056332876466988174,0.14285714285714285
0.012468827930174564,0.5555555555555556,0.024390243902439025,5,395,4,0.012176396679192293,0.005747126436781609
0.11471321695760599,0.3511450381679389,0.17293233082706766,46,354,85,0.1966701072356801,1.0
0.017456359102244388,0.2916666666666667,0.03294117647058823,7,393,17,0.031178359659782145,0.09090909090909091
0.0199501246882793,0.2857142857142857,0.0372960372960373,8,392,20,0.020366123911107658,0.022727272727272728
0.012468827930174564,0.22727272727272727,0.023640661938534282,5,395,17,0.02277990985911778,0.015151515151515152
0.0024937655860349127,0.1,0.0048661800486618,1,399,9,0.005434782608695652,0.005434782608695652
0.017456359102244388,0.28,0.03286384976525821,7,393,18,0.022636265617615746,0.02631578947368421
0.012468827930174564,0.22727272727272727,0.023640661938534282,5,395,17,0.06333198648485272,0.125
0.004987531172069825,0.2857142857142857,0.00980392156862745,2,398,5,0.007659574468085106,0.005319148936170213
0.012468827930174564,0.20833333333333334,0.023529411764705882,5,395,19,0.008678006735634514,0.0031847133757961785
0.02743142144638404,0.2,0.04824561403508772,11,389,44,0.024493024021255947,0.009433962264150943
0.08977556109725686,0.34615384615384615,0.14257425742574256,36,364,68,0.07994492676761028,0.16666666666666666
0.1396508728179551,0.3111111111111111,0.1927710843373494,56,344,124,0.13637676244849914,0.16666666666666666
0.04239401496259352,0.3090909090909091,0.07456140350877194,17,383,38,0.04001688094320563,0.03333333333333333
0.02493765586034913,0.47619047619047616,0.047393364928909956,10,390,11,0.026854139743333016,0.03333333333333333
0.02493765586034913,0.45454545454545453,0.047281323877068564,10,390,12,0.03252215691616052,0.0196078431372549
0.029925187032418952,0.2608695652173913,0.05369127516778523,12,388,34,0.043329158202358525,0.25
0.022443890274314215,0.36,0.04225352112676056,9,391,16,0.09987669291493952,0.3333333333333333
0.04239401496259352,0.24285714285714285,0.07218683651804672,17,383,53,0.03951591468589949,0.011111111111111112
0.004987531172069825,0.05714285714285714,0.009174311926605505,2,398,33,0.004985119047619047,0.004761904761904762
0.017456359102244388,0.22580645161290322,0.032407407407407406,7,393,24,0.014758452165171557,0.014705882352941176
0.04738154613466334,0.37254901960784315,0.084070796460177,19,381,32,0.03653712117630946,0.022222222222222223
0.029925187032418952,0.36363636363636365,0.0552995391705069,12,388,21,0.03293794461658021,0.037037037037037035
0.007481296758104738,0.2727272727272727,0.014563106796116505,3,397,8,0.008814922919868356,0.007142857142857143
0.04239401496259352,0.3333333333333333,0.07522123893805309,17,383,34,0.0456991028887917,0.017241379310344827
0.029925187032418952,0.2727272727272727,0.05393258426966291,12,388,32,0.06822894626043359,0.5
0.00997506234413965,0.23529411764705882,0.019138755980861243,4,396,13,0.013071630490186142,0.014285714285714285
0.03740648379052369,0.25862068965517243,0.06535947712418301,15,385,43,0.03005982484082623,0.017241379310344827
0.017456359102244388,0.23333333333333334,0.03248259860788862,7,393,23,0.01838403270012848,0.017241379310344827
0.02493765586034913,0.17543859649122806,0.04366812227074236,10,390,47,0.03666737847997549,0.16666666666666666
0.0199501246882793,0.20512820512820512,0.036363636363636355,8,392,31,0.01662799241498629,0.008064516129032258
0.004987531172069825,0.14285714285714285,0.00963855421686747,2,398,12,0.05507246376811594,0.06666666666666667
0.0024937655860349127,0.1111111111111111,0.004878048780487805,1,399,8,0.00510204081632653,0.00510204081632653
0.05486284289276808,0.22448979591836735,0.08817635270541081,22,378,76,0.051887632813625344,0.043478260869565216
0.04239401496259352,0.32075471698113206,0.07488986784140969,17,383,36,0.039159515698159814,0.03125
0.12718204488778054,0.3148148148148148,0.1811722912966252,51,349,111,0.1123322159322808,0.1
0.11471321695760599,0.3150684931506849,0.16819012797074953,46,354,100,0.09558506722783798,0.1
0.012468827930174564,0.3333333333333333,0.02403846153846154,5,395,10,0.011603807058134996,0.007407407407407408
0.02493765586034913,0.2127659574468085,0.044642857142857144,10,390,37,0.09076154758579029,0.3333333333333333
0.06483790523690773,0.2653061224489796,0.10420841683366734,26,374,72,0.06995775901978386,0.5
0.10723192019950124,0.30714285714285716,0.1589648798521257,43,357,97,0.10103180836237868,0.03125
0.012468827930174564,0.25,0.023752969121140142,5,395,15,0.030865628660514725,0.1
0.00997506234413965,0.2222222222222222,0.01909307875894988,4,396,14,0.024282892069678028,0.03125
0.04488778054862843,0.3,0.07809110629067245,18,382,42,0.05273853144867307,0.3333333333333333
0.017456359102244388,0.23333333333333334,0.03248259860788862,7,393,23,0.019065628868816853,0.019230769230769232
0.029925187032418952,0.3333333333333333,0.05491990846681922,12,388,24,0.034270484811980396,0.03571428571428571
0.029925187032418952,0.48,0.05633802816901408,12,388,13,0.03473008270981505,0.024390243902439025
0.18204488778054864,0.3029045643153527,0.2274143302180685,73,327,168,0.19555802769138877,1.0
0.0024937655860349127,0.5,0.004962779156327543,1,399,1,0.002976190476190476,0.002976190476190476
0.012468827930174564,0.21739130434782608,0.02358490566037736,5,395,18,0.011747512864529052,0.006944444444444444
0.03740648379052369,0.24193548387096775,0.06479481641468683,15,385,47,0.03418312229746248,0.05555555555555555
0.029925187032418952,0.5,0.05647058823529411,12,388,12,0.03535847327286842,0.058823529411764705
0.02743142144638404,0.34375,0.05080831408775981,11,389,21,0.1277344283807575,1.0
0.02743142144638404,0.21568627450980393,0.048672566371681415,11,389,40,0.11495669988356677,1.0
0.04738154613466334,0.2,0.07661290322580645,19,381,76,0.0970203397889182,1.0
0.08229426433915212,0.22758620689655173,0.12087912087912088,33,367,112,0.12571067156103283,1.0
0.03740648379052369,0.4411764705882353,0.06896551724137931,15,385,19,0.03673522392169104,0.0625
0.05236907730673317,0.3,0.08917197452229297,21,379,49,0.09148952867114976,0.16666666666666666
0.12468827930174564,0.3472222222222222,0.1834862385321101,50,350,94,0.10934206078104663,0.06666666666666667
0.02743142144638404,0.28205128205128205,0.049999999999999996,11,389,28,0.11584471176557737,1.0
